Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,0,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,2,No,19,3,1,2,10,3,3,5,3,1,3
35,0,Travel_Rarely,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1,No,12,3,3,1,1,3,3,1,0,0,0
27,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,1,No,13,3,4,1,1,6,3,1,0,0,0
26,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,1,No,12,3,3,0,1,2,2,1,0,0,1
27,0,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,1,No,15,3,4,0,9,0,3,9,8,1,7
30,0,Travel_Frequently,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,1,No,23,4,4,0,12,2,3,12,8,3,7
41,1,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,1,No,12,3,4,0,23,0,3,22,15,15,8
34,0,Non-Travel,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,0,No,20,4,3,0,10,2,3,9,5,8,7
37,0,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,4,No,21,4,1,0,8,1,3,1,0,0,0
46,0,Travel_Frequently,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,0,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,1,No,19,3,4,0,1,2,3,1,0,0,1
48,1,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,0,Travel_Rarely,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,0,Non-Travel,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,0,Travel_Rarely,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,0,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,0,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,1,No,22,4,4,1,9,3,2,9,8,1,8
35,0,Travel_Rarely,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,0,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,3,No,22,4,4,1,10,3,2,7,7,1,7
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,1,No,18,3,3,1,7,2,4,7,5,0,7
32,0,Travel_Rarely,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,0,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,1,No,11,3,4,0,10,2,3,10,3,9,9
50,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,0,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7,No,11,3,4,0,28,3,2,21,16,7,9
36,0,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,1,No,13,3,2,3,17,2,3,17,14,12,8
55,0,Travel_Rarely,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,0,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,1,No,13,3,3,0,6,3,3,6,5,0,3
45,0,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,2,No,17,3,3,1,25,2,3,1,0,0,0
35,0,Travel_Frequently,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,4,No,13,3,4,1,5,2,2,3,2,1,2
36,1,Travel_Rarely,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,0,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,7,No,11,3,4,0,20,2,2,4,3,1,3
29,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,0,No,23,4,4,1,6,3,3,5,4,0,4
31,0,Travel_Rarely,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,1,No,17,3,2,0,1,4,3,1,1,1,0
32,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,1,No,17,3,2,2,10,3,3,10,4,0,9
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3,No,12,3,2,0,5,3,3,1,0,0,0
31,0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,1,No,23,4,4,0,11,2,3,11,7,1,8
35,0,Travel_Rarely,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,0,No,14,3,2,0,16,2,3,15,13,2,8
45,0,Travel_Rarely,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,0,Travel_Rarely,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,4,No,13,3,1,0,16,3,4,5,2,0,2
46,0,Travel_Rarely,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,0,Travel_Rarely,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,1,No,18,3,1,0,6,3,3,6,4,0,4
55,0,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,3,No,14,3,4,1,24,4,3,1,0,1,0
38,0,Non-Travel,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,0,Travel_Rarely,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,1,No,15,3,3,0,5,2,3,5,2,1,3
56,0,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,4,No,11,3,1,0,37,3,2,6,4,0,2
23,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,3,No,13,3,3,1,3,3,3,0,0,0,0
51,0,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,3,No,23,4,2,2,10,4,3,4,2,0,3
30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,1,No,19,3,1,3,11,3,3,11,10,10,8
46,1,Travel_Rarely,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,1,No,16,3,4,0,9,3,3,9,8,4,7
40,0,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,1,No,22,4,4,1,22,3,2,22,3,11,11
51,0,Travel_Rarely,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,0,Travel_Rarely,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,0,Travel_Frequently,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,0,Travel_Rarely,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,1,No,16,3,1,0,12,0,3,11,8,5,7
54,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,9,No,12,3,1,1,16,5,1,4,3,0,3
24,0,Travel_Rarely,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,0,No,21,4,1,1,4,2,2,3,2,0,2
28,0,Non-Travel,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,1,No,15,3,2,0,5,3,4,5,4,0,4
58,0,Travel_Rarely,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,0,No,13,3,3,0,38,1,2,37,10,1,8
44,0,Non-Travel,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,4,No,12,3,3,1,17,3,4,3,2,1,2
37,1,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,1,No,13,3,4,0,1,2,3,1,0,0,0
20,1,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,0,Travel_Rarely,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,1,No,14,3,3,0,16,3,3,16,13,2,10
37,0,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5,No,14,3,4,1,17,2,4,1,0,0,0
59,0,Non-Travel,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,9,No,21,4,4,1,30,3,3,3,2,2,2
50,0,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,1,Travel_Rarely,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,0,Travel_Rarely,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,1,No,11,3,3,2,2,2,3,2,2,2,1
22,0,Travel_Rarely,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,1,No,15,3,3,0,1,5,3,0,0,0,0
51,0,Travel_Frequently,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,3,No,20,4,3,0,23,1,2,13,12,12,8
34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,0,Non-Travel,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,0,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,0,No,12,3,3,1,6,2,3,5,3,1,2
34,0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,6,No,15,3,3,1,12,3,3,1,0,0,0
37,0,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,2,No,12,3,1,0,12,3,3,5,3,1,3
34,0,Travel_Rarely,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,2,No,12,3,4,0,14,6,3,11,10,5,8
36,0,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,0,No,14,3,3,1,10,6,3,9,7,2,8
36,0,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,5,No,22,4,1,1,7,2,3,1,0,0,0
43,0,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,1,No,25,4,3,3,10,2,2,10,7,0,9
33,0,Non-Travel,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,0,No,13,3,1,1,8,2,4,7,7,0,7
56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,7,No,13,3,3,0,23,5,3,20,18,15,15
31,1,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,0,Travel_Rarely,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,1,No,19,3,3,0,5,3,2,5,4,4,3
58,1,Travel_Rarely,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,1,No,12,3,4,1,40,3,2,40,10,15,6
19,1,Travel_Rarely,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,0,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,0,No,14,3,3,1,3,2,3,2,1,2,1
49,0,Travel_Rarely,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,1,No,14,3,3,0,16,2,2,15,11,5,11
43,0,Travel_Frequently,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4,No,12,3,4,0,18,2,3,3,2,1,2
50,0,Travel_Frequently,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,4,No,11,3,4,0,16,3,3,2,2,2,1
31,1,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,0,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,0,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,1,No,23,4,4,1,8,3,3,8,7,5,7
36,0,Travel_Rarely,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,6,No,20,4,4,2,7,0,3,3,2,0,1
51,1,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,2,No,15,3,4,0,18,2,3,4,2,0,3
39,0,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,4,No,14,3,3,1,17,1,4,15,11,5,9
25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,2,No,18,3,4,0,6,3,3,2,2,2,2
30,0,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,1,Travel_Rarely,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,7,No,22,4,1,0,10,2,4,5,4,0,4
45,0,Travel_Rarely,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,5,No,13,3,2,0,9,2,2,6,5,0,3
38,0,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,1,No,14,3,3,0,5,4,2,5,4,0,4
32,0,Travel_Frequently,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,0,No,17,3,4,3,9,2,4,8,7,0,7
30,0,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,5,No,14,3,4,1,8,3,3,3,2,2,2
30,0,Travel_Rarely,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,0,No,13,3,4,0,6,3,3,5,3,1,2
41,0,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,4,No,13,3,2,1,21,2,2,7,6,7,7
41,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2,No,21,4,4,1,7,2,3,5,0,1,4
19,0,Travel_Rarely,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1,No,14,3,4,0,1,3,3,1,0,0,0
40,0,Travel_Frequently,Research & Development,26,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,1,No,11,3,1,1,20,2,3,20,7,2,13
35,0,Travel_Rarely,Sales,1,5,Marketing,3,Male,94,3,3,Sales Executive,2,Married,1,No,13,3,1,2,10,3,3,10,8,0,6
53,0,Travel_Rarely,Sales,6,2,Marketing,2,Male,34,3,2,Sales Representative,3,Married,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,0,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,8,No,18,3,3,1,20,2,1,17,9,0,15
32,0,Travel_Frequently,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,1,No,14,3,4,0,9,2,3,9,8,3,7
29,0,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,41,3,2,Manufacturing Director,3,Married,1,No,13,3,1,1,10,1,3,10,7,0,9
51,0,Travel_Rarely,Research & Development,7,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,2,No,17,3,3,0,10,2,3,1,0,0,0
58,0,Travel_Rarely,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,4,Yes,20,4,2,1,9,3,2,1,0,0,0
40,0,Travel_Rarely,Sales,4,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,7,No,11,3,1,1,15,2,2,12,11,2,11
34,0,Travel_Frequently,Sales,2,4,Marketing,3,Female,75,3,1,Sales Representative,3,Married,6,No,18,3,4,1,6,3,3,4,3,1,2
22,0,Travel_Rarely,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,1,No,24,4,1,2,2,6,3,2,2,2,2
27,0,Non-Travel,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,6,No,18,3,4,1,6,1,1,2,2,2,2
28,0,Travel_Rarely,Research & Development,21,3,Medical,3,Male,42,3,1,Research Scientist,4,Married,1,No,11,3,3,1,5,2,1,5,2,0,2
57,0,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,83,4,3,Healthcare Representative,4,Divorced,3,Yes,16,3,2,1,12,2,1,5,3,1,4
27,0,Non-Travel,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,1,Yes,15,3,4,1,1,2,2,1,1,0,1
50,0,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,3,No,15,3,2,0,21,5,3,5,4,4,4
41,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,56,3,1,Research Scientist,3,Divorced,4,No,12,3,1,1,13,2,3,9,8,1,8
30,0,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,2,No,12,3,3,1,12,2,3,10,9,7,4
38,0,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,4,No,22,4,3,0,12,2,4,8,3,0,7
32,0,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,43,3,1,Research Scientist,3,Single,3,No,20,4,1,0,8,2,3,5,4,1,4
27,0,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,51,3,1,Research Scientist,2,Married,0,Yes,16,3,4,1,6,3,2,5,2,1,1
19,1,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,0,No,21,4,1,0,1,5,4,0,0,0,0
